cell_id,demand,visit_count,trajectory_count,entry_count
R007C004,0.0,0,0,0
R007C005,0.0,0,0,0
R007C006,0.0,0,0,0
R007C007,0.0,0,0,0
R007C008,0.0,0,0,0
R007C009,0.0,0,0,0
R007C010,0.0,0,0,0
R007C011,0.0,0,0,0
R007C012,0.0,0,0,0
R007C013,0.0,0,0,0
R007C014,0.0,0,0,0
R007C015,0.0,0,0,0
R007C016,0.0,0,0,0
R007C017,0.0,0,0,0
R007C018,0.0,0,0,0
R007C019,0.0,0,0,0
R007C020,0.0,0,0,0
R007C021,0.0,0,0,0
R007C022,0.0,0,0,0
R007C023,0.0,0,0,0
R007C024,0.0,0,0,0
R007C025,0.0,0,0,0
R007C026,0.18690161589713872,1,1,1
R007C027,0.0,0,0,0
R007C028,0.0,0,0,0
R007C029,0.0,0,0,0
R007C030,0.0,0,0,0
R007C031,0.0,0,0,0
R007C032,0.0,0,0,0
R007C033,0.0,0,0,0
R007C034,0.0,0,0,0
R007C035,0.0,0,0,0
R007C036,0.0,0,0,0
R007C037,0.0,0,0,0
R007C038,0.0,0,0,0
R007C039,0.0,0,0,0
R007C040,0.0,0,0,0
R007C041,0.0,0,0,0
R007C042,0.0,0,0,0
R007C043,0.33529153757468344,5,1,2
R007C044,0.32593557297241876,4,1,3
R007C045,0.3890339274843425,6,1,3
R007C046,0.5374238491618872,10,1,4
R007C047,0.4205831047403044,7,1,3
R007C048,0.27219318306275964,3,1,2
R007C049,0.18690161589713872,1,1,1
R007C050,0.0,0,0,0
R008C000,0.0,0,0,0
R008C001,0.0,0,0,0
R008C002,0.0,0,0,0
R008C003,0.0,0,0,0
R008C004,0.0,0,0,0
R008C005,0.0,0,0,0
R008C006,0.0,0,0,0
R008C007,0.0,0,0,0
R008C008,0.0,0,0,0
R008C009,0.0,0,0,0
R008C010,0.0,0,0,0
R008C011,0.0,0,0,0
R008C012,0.0,0,0,0
R008C013,0.0,0,0,0
R008C014,0.0,0,0,0
R008C015,0.0,0,0,0
R008C016,0.0,0,0,0
R008C017,0.0,0,0,0
R008C018,0.0,0,0,0
R008C019,0.0,0,0,0
R008C020,0.0,0,0,0
R008C021,0.0,0,0,0
R008C022,0.18690161589713872,1,1,1
R008C023,0.27219318306275964,3,1,2
R008C024,0.18690161589713872,1,1,1
R008C025,0.40774585668887187,8,1,1
R008C026,0.27219318306275964,3,1,2
R008C027,0.6320713809297729,13,1,4
R008C028,0.6320713809297729,13,1,4
R008C029,0.6098781682760757,13,1,3
R008C030,0.33529153757468344,5,1,2
R008C031,0.21845079315310056,2,1,1
R008C032,0.30374236031872154,4,1,2
R008C033,0.30374236031872154,4,1,2
R008C034,0.18690161589713872,1,1,1
R008C035,0.0,0,0,0
R008C036,0.0,0,0,0
R008C037,0.0,0,0,0
R008C038,0.0,0,0,0
R008C039,0.0,0,0,0
R008C040,0.0,0,0,0
R008C041,0.0,0,0,0
R008C042,0.24999997040906244,3,1,1
R008C043,0.21845079315310056,2,1,1
R008C044,0.4112271401380397,6,1,4
R008C045,0.3890339274843425,6,1,3
R008C046,0.2406440058067978,2,1,2
R008C047,0.30374236031872154,4,1,2
R008C048,0.18690161589713872,1,1,1
R008C049,0.18690161589713872,1,1,1
R008C050,0.21845079315310056,2,1,1
R009C000,0.0,0,0,0
R009C001,0.0,0,0,0
R009C002,0.0,0,0,0
R009C003,0.0,0,0,0
R009C004,0.0,0,0,0
R009C005,0.0,0,0,0
R009C006,0.0,0,0,0
R009C007,0.0,0,0,0
R009C008,0.0,0,0,0
R009C009,0.0,0,0,0
R009C010,0.0,0,0,0
R009C011,0.0,0,0,0
R009C012,0.0,0,0,0
R009C013,0.0,0,0,0
R009C014,0.0,0,0,0
R009C015,0.0,0,0,0
R009C016,0.0,0,0,0
R009C017,0.0,0,0,0
R009C018,0.0,0,0,0
R009C019,0.0,0,0,0
R009C020,0.0,0,0,0
R009C021,0.0,0,0,0
R009C022,0.0,0,0,0
R009C023,0.21845079315310056,2,1,1
R009C024,0.3668407148306453,6,1,2
R009C025,0.7173629480953938,15,1,5
R009C026,0.4205831047403044,7,1,3
R009C027,0.7804613026073177,17,1,5
R009C028,0.33529153757468344,5,1,2
R009C029,0.461488246598531,9,1,2
R009C030,0.3668407148306453,6,1,2
R009C031,0.24999997040906244,3,1,1
R009C032,0.0,0,0,0
R009C033,0.0,0,0,0
R009C034,0.0,0,0,0
R009C035,0.0,0,0,0
R009C036,0.0,0,0,0
R009C037,0.0,0,0,0
R009C038,0.0,0,0,0
R009C039,0.0,0,0,0
R009C040,0.2815491476650243,4,1,1
R009C041,0.3668407148306453,6,1,2
R009C042,0.31309832492098627,5,1,1
R009C043,0.31309832492098627,5,1,1
R009C044,0.21845079315310056,2,1,1
R009C045,0.18690161589713872,1,1,1
R009C046,0.33529153757468344,5,1,2
R009C047,0.30374236031872154,4,1,2
R009C048,0.21845079315310056,2,1,1
R009C049,0.2406440058067978,2,1,2
R009C050,0.24999997040906244,3,1,1
R010C000,0.0,0,0,0
R010C001,0.0,0,0,0
R010C002,0.0,0,0,0
R010C003,0.0,0,0,0
R010C004,0.0,0,0,0
R010C005,0.0,0,0,0
R010C006,0.0,0,0,0
R010C007,0.0,0,0,0
R010C008,0.0,0,0,0
